date,title,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8
2026-10-11,Sugarcane and Agave Spirits,Blanco Tequila,Reposado Tequila,Anejo Tequila,Mezcal Artesanal,Rhum Agricole,Jamaican Pot Still Rum,Demerara Rum,Cachaca
2026-10-12,Fresh Bar Herbs,Spearmint,Sweet Basil,Rosemary,Thyme,Sage,Cilantro,Lavender,Tarragon
2026-10-13,Savory Cocktail Modifiers,Olive Brine,Worcestershire Sauce,Horseradish,Hot Pepper Sauce,Celery Salt,Tomato Juice,Clamato,Pickle Juice
2026-10-14,Famous Historical Cocktail Books,The Bartender's Guide,Savoy Cocktail Book,The Flowing Bowl,Cafe Royal Cocktail Book,Bon Vivant's Companion,The Fine Art of Mixing Drinks,South American Gentleman's Companion,Stork Club Bar Book
2026-10-15,Low-ABV and Aperitif Cocktails,Americano,Aperol Spritz,Bamboo,Adonis,Vermouth Cassis,Garibaldi,Port and Tonic,Milano-Torino
2026-10-16,Spirit-Forward Stirred Drinks,Dry Martini,Manhattan,Negroni,Old Fashioned,Boulevardier,Sazerac,Rob Roy,Martinez
2026-10-17,Canonical Sours,Whiskey Sour,Daiquiri,Gimlet,Sidecar,Margarita,Pisco Sour,Amaretto Sour,Clover Club
2026-10-18,Advanced Bartending Techniques,Milk Washing,Fat Washing,Centrifugal Clarification,Rapid Infusion,Carbonation,Sous Vide Infusion,Flaming Citrus,Ice Carving
2026-10-19,Legendary Historic Hotel Bars,American Bar at The Savoy,Carousel Bar at Monteleone,Long Bar at Raffles,Bemelmans Bar at The Carlyle,Bar Hemingway at Ritz Paris,Dukes Bar London,Connaught Bar London,King Cole Bar New York
2026-10-20,Agave Varietals Used in Mezcal,Espadin,Tobala,Tepeztate,Arroqueno,Madre Cuishe,Barril,Jabali,Mexicano
2026-10-21,Warm and Winter Cocktails,Hot Toddy,Irish Coffee,Mulled Wine,Hot Buttered Rum,Tom and Jerry,Glogg,Spiced Cider,Blue Blazer
2026-10-22,Classic Nightcap Cocktails,Brandy Alexander,Rusty Nail,Godfather,Black Nail,Boulevardier,Vieux Carre,Stinger,Tipperary
2026-10-23,Scotch Whisky Regions and Styles,Islay Single Malt,Speyside Single Malt,Highland Single Malt,Lowland Single Malt,Campbeltown Single Malt,Islands Single Malt,Peated Single Malt,Blended Scotch
2026-10-24,Cocktail Fruit Juices and Purees,Lime Juice,Lemon Juice,Pineapple Juice,Cranberry Juice,Grapefruit Juice,Passion Fruit Puree,Guava Nectar,Pomegranate Juice
2026-10-25,Cocktail Texturizers and Foaming Agents,Egg White,Aquafaba,Heavy Cream,Whole Milk,Coconut Cream,Gum Arabic,Xanthan Gum,Whole Egg
2026-10-26,Fascinating Cocktail Lore and Traditions,Scurvy Prevention Rations,Navy Strength Proof Test,Coffin Ship Rations,Green Fairy Ritual,Bathtub Gin Distillation,Temperance Mocktails,Secret Tiki Formulations,Three Martini Lunch Tradition
2026-10-27,Traditional Bar Measurements,Standard Dash,Barspoon Measure,Fluid Ounce,Splash,Pony Shot,Jigger Measure,Centiliter,Wine Measure
